name	pname	cityname	adname	address	location	lng	lat	rating	cost
赵家院子佬火锅(重庆总店)	重庆市	重庆市	江北区	五里店万丰一村永辉超市右大门上行50米	106.556382,29.579883	106.55766585007548	29.574639200882807	4.0	77.00
曹氏天赋老火锅(江北店)	重庆市	重庆市	江北区	建新西路21号都市实业大厦2层	106.532164,29.571528	106.55766585007548	29.574639200882807	4.0	46.00
晓宇鲜货火锅(观音桥店)	重庆市	重庆市	江北区	东环路59号星天广场4层4-18号(新世纪奥特莱斯对面)	106.534012,29.576674	106.55766585007548	29.574639200882807	4.0	79.00
盛玺一品焖锅(新世界百货店)	重庆市	重庆市	江北区	观音桥步行街6号附3、8号新世界百货重庆店6层	106.533041,29.573970	106.55766585007548	29.574639200882807	4.0	60.00
手提串串香(五里店店)	重庆市	重庆市	江北区	五江路18号附8号	106.562286,29.579448	106.55766585007548	29.574639200882807	3.5	39.00
临江门洞子九姐老火锅	重庆市	重庆市	江北区	建新东路16号附19号	106.537556,29.574131	106.55766585007548	29.574639200882807	4.0	72.00
邓胖哥火锅	重庆市	重庆市	江北区	华新街华新城215号3-1(近华唐路站)	106.534736,29.566207	106.55766585007548	29.574639200882807	4.0	54.00
何王氏串串香火锅(东原D7店)	重庆市	重庆市	江北区	东原D7红原路113号附13号	106.499662,29.567323	106.55766585007548	29.574639200882807	3.5	39.00
龙液酸汤乌鱼府直营店	重庆市	重庆市	江北区	五里店五红路锦宏嘉园11栋1-4	106.558717,29.583959	106.55766585007548	29.574639200882807	3.5	51.00
水码头老火锅(五里店店)	重庆市	重庆市	江北区	五简路124号附12号阳光100城市广场	106.563637,29.579184	106.55766585007548	29.574639200882807	3.5	67.00
顺祺佛爷煲(鎏嘉码头店)	重庆市	重庆市	江北区	江北区北滨一路193号	106.559842,29.570209	106.55766585007548	29.574639200882807	5.0	117.00
费氏老火锅(盘溪路)	重庆市	重庆市	江北区	大石坝九村	106.485731,29.569784	106.55766585007548	29.574639200882807	4.4	[]
聚会老太婆面	重庆市	重庆市	江北区	南桥寺健安路聚慧雅苑大门口	106.477950,29.589412	106.55766585007548	29.574639200882807	3.5	[]
刘关张腰片老火锅(金源路店)	重庆市	重庆市	江北区	金源路66号附4号	106.529663,29.561328	106.55766585007548	29.574639200882807	3.5	62.00
庖丁家潮汕牛肉	重庆市	重庆市	江北区	五里店街道江北嘴财信广场二楼	106.571613,29.571463	106.55766585007548	29.574639200882807	3.5	73.00
托福老火锅	重庆市	重庆市	江北区	电仪路103号附2号	106.533778,29.585403	106.55766585007548	29.574639200882807	3.5	68.00
巧媳妇串串香(金源路店)	重庆市	重庆市	江北区	金源路3号附5号	106.527789,29.556987	106.55766585007548	29.574639200882807	3.5	49.00
宏百年旋转自助火锅城	重庆市	重庆市	江北区	鱼嘴西路72号附24号	106.761529,29.623277	106.55766585007548	29.574639200882807	5.0	60.00
重庆刘一手心火锅(观音桥店)	重庆市	重庆市	江北区	观音桥西环路2号附32号4层	106.528943,29.573380	106.55766585007548	29.574639200882807	4.5	100.00
四一四老火锅(建新南路店)	重庆市	重庆市	江北区	中信大厦旁边爱尔眼科背后	106.535126,29.571649	106.55766585007548	29.574639200882807	4.9	60.00
同一手锅(江北店)	重庆市	重庆市	江北区	观音桥嘉陵三村272号	106.531420,29.570391	106.55766585007548	29.574639200882807	3.0	26.00
南山老火锅(建东店)	重庆市	重庆市	江北区	建新东路33号附4号	106.541542,29.573376	106.55766585007548	29.574639200882807	4.2	46.00
泉全火锅鸡(总店)	重庆市	重庆市	江北区	五里店36号附4号(近五里店小学)	106.556111,29.582083	106.55766585007548	29.574639200882807	3.5	[]
可乐老火锅(观音桥黄金海岸店)	重庆市	重庆市	江北区	观音桥百汇商场3层	106.533355,29.571657	106.55766585007548	29.574639200882807	4.5	62.00
凌家铺子老火锅(鱼嘴店)	重庆市	重庆市	江北区	和韵路靠近重庆市江北区鱼嘴和韵路23号	106.757523,29.624825	106.55766585007548	29.574639200882807	3.5	58.00
渝·秀麻辣海鲜自助火锅(观音桥店)	重庆市	重庆市	江北区	观音桥宏福俊悦大厦2层	106.534343,29.577217	106.55766585007548	29.574639200882807	4.0	55.00
